Series ID,Year,Period,Label,Value,12-Month % Change
CUUR0000SAM2,1935,M03,1935 Mar,8.2, N/A
CUUR0000SAM2,1935,M07,1935 Jul,8.3, N/A
CUUR0000SAM2,1935,M10,1935 Oct,8.3,N/A
CUUR0000SAM2,1936,M01,1936 Jan,8.3,N/A
CUUR0000SAM2,1936,M04,1936 Apr,8.3,N/A
CUUR0000SAM2,1936,M07,1936 Jul,8.3,0.0
CUUR0000SAM2,1936,M09,1936 Sep,8.3, N/A
CUUR0000SAM2,1936,M12,1936 Dec,8.4,N/A
CUUR0000SAM2,1937,M03,1937 Mar,8.4,N/A
CUUR0000SAM2,1937,M06,1937 Jun,8.4,N/A
CUUR0000SAM2,1937,M09,1937 Sep,8.4,1.2
CUUR0000SAM2,1937,M12,1937 Dec,8.4,0.0
CUUR0000SAM2,1938,M03,1938 Mar,8.4,0.0
CUUR0000SAM2,1938,M06,1938 Jun,8.4,0.0
CUUR0000SAM2,1938,M09,1938 Sep,8.4,0.0
CUUR0000SAM2,1938,M12,1938 Dec,8.4,0.0
CUUR0000SAM2,1939,M03,1939 Mar,8.4,0.0
CUUR0000SAM2,1939,M06,1939 Jun,8.5,1.2
CUUR0000SAM2,1939,M09,1939 Sep,8.5,1.2
CUUR0000SAM2,1939,M12,1939 Dec,8.5,1.2
CUUR0000SAM2,1940,M03,1940 Mar,8.5,1.2
CUUR0000SAM2,1940,M06,1940 Jun,8.5,0.0
CUUR0000SAM2,1940,M09,1940 Sep,8.5,0.0
CUUR0000SAM2,1940,M12,1940 Dec,8.5,0.0
CUUR0000SAM2,1941,M03,1941 Mar,8.5,0.0
CUUR0000SAM2,1941,M06,1941 Jun,8.5,0.0
CUUR0000SAM2,1941,M09,1941 Sep,8.5,0.0
CUUR0000SAM2,1941,M12,1941 Dec,8.6,1.2
CUUR0000SAM2,1942,M03,1942 Mar,8.6,1.2
CUUR0000SAM2,1942,M06,1942 Jun,8.7,2.4
CUUR0000SAM2,1942,M09,1942 Sep,8.8,3.5
CUUR0000SAM2,1942,M12,1942 Dec,8.9,3.5
CUUR0000SAM2,1943,M03,1943 Mar,9.1,5.8
CUUR0000SAM2,1943,M06,1943 Jun,9.2,5.7
CUUR0000SAM2,1943,M09,1943 Sep,9.3,5.7
CUUR0000SAM2,1943,M12,1943 Dec,9.4,5.6
CUUR0000SAM2,1944,M03,1944 Mar,9.5,4.4
CUUR0000SAM2,1944,M06,1944 Jun,9.6,4.3
CUUR0000SAM2,1944,M09,1944 Sep,9.7,4.3
CUUR0000SAM2,1944,M12,1944 Dec,9.7,3.2
CUUR0000SAM2,1945,M03,1945 Mar,9.8,3.2
CUUR0000SAM2,1945,M06,1945 Jun,9.8,2.1
CUUR0000SAM2,1945,M09,1945 Sep,9.9,2.1
CUUR0000SAM2,1945,M12,1945 Dec,10.0,3.1
CUUR0000SAM2,1946,M03,1946 Mar,10.1,3.1
CUUR0000SAM2,1946,M06,1946 Jun,10.4,6.1
CUUR0000SAM2,1946,M09,1946 Sep,10.6,7.1
CUUR0000SAM2,1946,M12,1946 Dec,10.9,9.0
CUUR0000SAM2,1947,M03,1947 Mar,11.2,10.9
CUUR0000SAM2,1947,M06,1947 Jun,11.3,8.7
CUUR0000SAM2,1947,M09,1947 Sep,11.5,8.5
CUUR0000SAM2,1947,M12,1947 Dec,11.6,6.4
CUUR0000SAM2,1948,M03,1948 Mar,11.8,5.4
CUUR0000SAM2,1948,M06,1948 Jun,12.1,7.1
CUUR0000SAM2,1948,M09,1948 Sep,12.3,7.0
CUUR0000SAM2,1948,M12,1948 Dec,12.4,6.9
CUUR0000SAM2,1949,M03,1949 Mar,12.5,5.9
CUUR0000SAM2,1949,M06,1949 Jun,12.5,3.3
CUUR0000SAM2,1949,M09,1949 Sep,12.6,2.4
CUUR0000SAM2,1949,M12,1949 Dec,12.6,1.6
CUUR0000SAM2,1950,M03,1950 Mar,12.7,1.6
CUUR0000SAM2,1950,M06,1950 Jun,12.7,1.6
CUUR0000SAM2,1950,M09,1950 Sep,12.9,2.4
CUUR0000SAM2,1950,M12,1950 Dec,13.1,4.0
CUUR0000SAM2,1951,M03,1951 Mar,13.3,4.7
CUUR0000SAM2,1951,M06,1951 Jun,13.4,5.5
CUUR0000SAM2,1951,M09,1951 Sep,13.5,4.7
CUUR0000SAM2,1951,M12,1951 Dec,13.8,5.3
CUUR0000SAM2,1952,M03,1952 Mar,14.0,5.3
CUUR0000SAM2,1952,M06,1952 Jun,14.4,7.5
CUUR0000SAM2,1952,M09,1952 Sep,14.5,7.4
CUUR0000SAM2,1952,M12,1952 Dec,14.6,5.8
CUUR0000SAM2,1953,M03,1953 Mar,14.6,4.3
CUUR0000SAM2,1953,M06,1953 Jun,14.8,2.8
CUUR0000SAM2,1953,M09,1953 Sep,14.9,2.8
CUUR0000SAM2,1953,M12,1953 Dec,15.1,3.4
CUUR0000SAM2,1954,M03,1954 Mar,15.1,3.4
CUUR0000SAM2,1954,M06,1954 Jun,15.2,2.7
CUUR0000SAM2,1954,M09,1954 Sep,15.3,2.7
CUUR0000SAM2,1954,M12,1954 Dec,15.5,2.6
CUUR0000SAM2,1955,M03,1955 Mar,15.6,3.3
CUUR0000SAM2,1955,M06,1955 Jun,15.7,3.3
CUUR0000SAM2,1955,M09,1955 Sep,15.8,3.3
CUUR0000SAM2,1955,M12,1955 Dec,16.0,3.2
CUUR0000SAM2,1956,M01,1956 Jan,16.0,N/A
CUUR0000SAM2,1956,M02,1956 Feb,16.1,N/A
CUUR0000SAM2,1956,M03,1956 Mar,16.2,3.8
CUUR0000SAM2,1956,M04,1956 Apr,16.2,N/A
CUUR0000SAM2,1956,M05,1956 May,16.2,N/A
CUUR0000SAM2,1956,M06,1956 Jun,16.2,3.2
CUUR0000SAM2,1956,M07,1956 Jul,16.3,N/A
CUUR0000SAM2,1956,M08,1956 Aug,16.4,N/A
