Series ID,Year,Period,Label,Value,12-Month % Change
CUUR0000SEMF02,2009,M12,2009 Dec,100.000, N/A
CUUR0000SEMF02,2010,M01,2010 Jan,99.849,N/A
CUUR0000SEMF02,2010,M02,2010 Feb,100.310,N/A
CUUR0000SEMF02,2010,M03,2010 Mar,100.726,N/A
CUUR0000SEMF02,2010,M04,2010 Apr,100.909,N/A
CUUR0000SEMF02,2010,M05,2010 May,101.123,N/A
CUUR0000SEMF02,2010,M06,2010 Jun,100.823,N/A
CUUR0000SEMF02,2010,M07,2010 Jul,100.009,N/A
CUUR0000SEMF02,2010,M08,2010 Aug,99.205,N/A
CUUR0000SEMF02,2010,M09,2010 Sep,99.361,N/A
CUUR0000SEMF02,2010,M10,2010 Oct,99.151,N/A
CUUR0000SEMF02,2010,M11,2010 Nov,99.053,N/A
CUUR0000SEMF02,2010,M12,2010 Dec,98.975,-1.0
CUUR0000SEMF02,2011,M01,2011 Jan,98.417,-1.4
CUUR0000SEMF02,2011,M02,2011 Feb,98.291,-2.0
CUUR0000SEMF02,2011,M03,2011 Mar,99.007,-1.7
CUUR0000SEMF02,2011,M04,2011 Apr,99.589,-1.3
CUUR0000SEMF02,2011,M05,2011 May,99.040,-2.1
CUUR0000SEMF02,2011,M06,2011 Jun,98.641,-2.2
CUUR0000SEMF02,2011,M07,2011 Jul,98.421,-1.6
CUUR0000SEMF02,2011,M08,2011 Aug,97.895,-1.3
CUUR0000SEMF02,2011,M09,2011 Sep,97.920,-1.5
CUUR0000SEMF02,2011,M10,2011 Oct,98.211,-0.9
CUUR0000SEMF02,2011,M11,2011 Nov,98.942,-0.1
CUUR0000SEMF02,2011,M12,2011 Dec,99.089,0.1
CUUR0000SEMF02,2012,M01,2012 Jan,98.645,0.2
CUUR0000SEMF02,2012,M02,2012 Feb,98.161,-0.1
CUUR0000SEMF02,2012,M03,2012 Mar,99.154,0.1
CUUR0000SEMF02,2012,M04,2012 Apr,98.892,-0.7
CUUR0000SEMF02,2012,M05,2012 May,99.377,0.3
CUUR0000SEMF02,2012,M06,2012 Jun,99.487,0.9
CUUR0000SEMF02,2012,M07,2012 Jul,99.801,1.4
CUUR0000SEMF02,2012,M08,2012 Aug,99.812,2.0
CUUR0000SEMF02,2012,M09,2012 Sep,99.659,1.8
CUUR0000SEMF02,2012,M10,2012 Oct,99.523,1.3
CUUR0000SEMF02,2012,M11,2012 Nov,99.805,0.9
CUUR0000SEMF02,2012,M12,2012 Dec,99.742,0.7
CUUR0000SEMF02,2013,M01,2013 Jan,99.402,0.8
CUUR0000SEMF02,2013,M02,2013 Feb,98.829,0.7
CUUR0000SEMF02,2013,M03,2013 Mar,99.050,-0.1
CUUR0000SEMF02,2013,M04,2013 Apr,99.724,0.8
CUUR0000SEMF02,2013,M05,2013 May,99.648,0.3
CUUR0000SEMF02,2013,M06,2013 Jun,99.940,0.5
CUUR0000SEMF02,2013,M07,2013 Jul,99.825,0.0
CUUR0000SEMF02,2013,M08,2013 Aug,99.029,-0.8
CUUR0000SEMF02,2013,M09,2013 Sep,99.245,-0.4
CUUR0000SEMF02,2013,M10,2013 Oct,99.811,0.3
CUUR0000SEMF02,2013,M11,2013 Nov,99.319,-0.5
CUUR0000SEMF02,2013,M12,2013 Dec,98.445,-1.3
CUUR0000SEMF02,2014,M01,2014 Jan,98.389,-1.0
CUUR0000SEMF02,2014,M02,2014 Feb,98.077,-0.8
CUUR0000SEMF02,2014,M03,2014 Mar,98.159,-0.9
CUUR0000SEMF02,2014,M04,2014 Apr,98.737,-1.0
CUUR0000SEMF02,2014,M05,2014 May,98.876,-0.8
CUUR0000SEMF02,2014,M06,2014 Jun,98.898,-1.0
CUUR0000SEMF02,2014,M07,2014 Jul,99.096,-0.7
CUUR0000SEMF02,2014,M08,2014 Aug,98.430,-0.6
CUUR0000SEMF02,2014,M09,2014 Sep,99.876,0.6
CUUR0000SEMF02,2014,M10,2014 Oct,97.730,-2.1
