Series ID,Year,Period,Label,Value,12-Month % Change
CUUR0000SEMF01,1947,M03,1947 Mar,37.1, N/A
CUUR0000SEMF01,1947,M06,1947 Jun,37.7,N/A
CUUR0000SEMF01,1947,M09,1947 Sep,39.0,N/A
CUUR0000SEMF01,1947,M11,1947 Nov,39.7, N/A
CUUR0000SEMF01,1947,M12,1947 Dec,39.9,N/A
CUUR0000SEMF01,1948,M03,1948 Mar,40.9,10.2
CUUR0000SEMF01,1948,M06,1948 Jun,41.2,9.3
CUUR0000SEMF01,1948,M09,1948 Sep,41.6,6.7
CUUR0000SEMF01,1948,M12,1948 Dec,42.0,5.3
CUUR0000SEMF01,1949,M03,1949 Mar,42.0,2.7
CUUR0000SEMF01,1949,M06,1949 Jun,42.1,2.2
CUUR0000SEMF01,1949,M09,1949 Sep,42.4,1.9
CUUR0000SEMF01,1949,M12,1949 Dec,42.6,1.4
CUUR0000SEMF01,1950,M03,1950 Mar,42.6,1.4
CUUR0000SEMF01,1950,M06,1950 Jun,42.7,1.4
CUUR0000SEMF01,1950,M09,1950 Sep,43.9,3.5
CUUR0000SEMF01,1950,M12,1950 Dec,44.8,5.2
CUUR0000SEMF01,1951,M03,1951 Mar,45.2,6.1
CUUR0000SEMF01,1951,M06,1951 Jun,45.5,6.6
CUUR0000SEMF01,1951,M09,1951 Sep,45.8,4.3
CUUR0000SEMF01,1951,M12,1951 Dec,45.7,2.0
CUUR0000SEMF01,1952,M03,1952 Mar,46.0,1.8
CUUR0000SEMF01,1952,M06,1952 Jun,46.0,1.1
CUUR0000SEMF01,1952,M09,1952 Sep,46.0,0.4
CUUR0000SEMF01,1952,M12,1952 Dec,46.3,1.3
CUUR0000SEMF01,1953,M03,1953 Mar,46.0,0.0
CUUR0000SEMF01,1953,M06,1953 Jun,46.0,0.0
CUUR0000SEMF01,1953,M09,1953 Sep,45.8,-0.4
CUUR0000SEMF01,1953,M12,1953 Dec,46.3,0.0
CUUR0000SEMF01,1954,M03,1954 Mar,46.7,1.5
CUUR0000SEMF01,1954,M06,1954 Jun,47.0,2.2
CUUR0000SEMF01,1954,M09,1954 Sep,47.1,2.8
CUUR0000SEMF01,1954,M12,1954 Dec,47.2,1.9
CUUR0000SEMF01,1955,M03,1955 Mar,46.7,0.0
CUUR0000SEMF01,1955,M06,1955 Jun,47.5,1.1
CUUR0000SEMF01,1955,M09,1955 Sep,47.8,1.5
CUUR0000SEMF01,1955,M12,1955 Dec,48.8,3.4
CUUR0000SEMF01,1956,M03,1956 Mar,48.9,4.7
CUUR0000SEMF01,1956,M06,1956 Jun,48.6,2.3
CUUR0000SEMF01,1956,M09,1956 Sep,49.4,3.3
CUUR0000SEMF01,1956,M12,1956 Dec,49.5,1.4
CUUR0000SEMF01,1957,M03,1957 Mar,49.9,2.0
CUUR0000SEMF01,1957,M06,1957 Jun,50.7,4.3
CUUR0000SEMF01,1957,M09,1957 Sep,50.9,3.0
CUUR0000SEMF01,1957,M12,1957 Dec,51.8,4.6
CUUR0000SEMF01,1958,M03,1958 Mar,52.7,5.6
CUUR0000SEMF01,1958,M06,1958 Jun,53.0,4.5
CUUR0000SEMF01,1958,M09,1958 Sep,53.2,4.5
CUUR0000SEMF01,1958,M12,1958 Dec,53.4,3.1
CUUR0000SEMF01,1959,M03,1959 Mar,54.0,2.5
CUUR0000SEMF01,1959,M06,1959 Jun,54.4,2.6
CUUR0000SEMF01,1959,M09,1959 Sep,54.4,2.3
CUUR0000SEMF01,1959,M12,1959 Dec,54.3,1.7
CUUR0000SEMF01,1960,M03,1960 Mar,54.2,0.4
CUUR0000SEMF01,1960,M06,1960 Jun,54.4,0.0
CUUR0000SEMF01,1960,M09,1960 Sep,53.8,-1.1
CUUR0000SEMF01,1960,M12,1960 Dec,53.1,-2.2
CUUR0000SEMF01,1961,M03,1961 Mar,52.7,-2.8
CUUR0000SEMF01,1961,M06,1961 Jun,52.4,-3.7
CUUR0000SEMF01,1961,M09,1961 Sep,51.5,-4.3
CUUR0000SEMF01,1961,M12,1961 Dec,51.4,-3.2
CUUR0000SEMF01,1962,M03,1962 Mar,50.7,-3.8
CUUR0000SEMF01,1962,M06,1962 Jun,50.4,-3.8
CUUR0000SEMF01,1962,M09,1962 Sep,49.3,-4.3
CUUR0000SEMF01,1962,M12,1962 Dec,49.3,-4.1
CUUR0000SEMF01,1963,M03,1963 Mar,49.1,-3.2
CUUR0000SEMF01,1963,M06,1963 Jun,49.0,-2.8
CUUR0000SEMF01,1963,M09,1963 Sep,48.7,-1.2
CUUR0000SEMF01,1963,M12,1963 Dec,48.6,-1.4
CUUR0000SEMF01,1964,M06,1964 Jun,48.4,-1.2
CUUR0000SEMF01,1964,M12,1964 Dec,48.0,-1.2
CUUR0000SEMF01,1965,M06,1965 Jun,47.8,-1.2
CUUR0000SEMF01,1965,M09,1965 Sep,47.7,N/A
CUUR0000SEMF01,1965,M12,1965 Dec,47.7,-0.6
CUUR0000SEMF01,1966,M03,1966 Mar,47.8,N/A
CUUR0000SEMF01,1966,M06,1966 Jun,47.6,-0.4
CUUR0000SEMF01,1966,M09,1966 Sep,47.6,-0.2
CUUR0000SEMF01,1966,M12,1966 Dec,47.5,-0.4
CUUR0000SEMF01,1967,M03,1967 Mar,47.1,-1.5
CUUR0000SEMF01,1967,M06,1967 Jun,46.7,-1.9
CUUR0000SEMF01,1967,M09,1967 Sep,46.6,-2.1
CUUR0000SEMF01,1967,M12,1967 Dec,46.5,-2.1
CUUR0000SEMF01,1968,M03,1968 Mar,46.2,-1.9
CUUR0000SEMF01,1968,M06,1968 Jun,45.9,-1.7
CUUR0000SEMF01,1968,M09,1968 Sep,45.8,-1.7
CUUR0000SEMF01,1968,M12,1968 Dec,46.1,-0.9
CUUR0000SEMF01,1969,M01,1969 Jan,46.2,N/A
CUUR0000SEMF01,1969,M02,1969 Feb,46.3,N/A
CUUR0000SEMF01,1969,M03,1969 Mar,46.4,0.4
CUUR0000SEMF01,1969,M04,1969 Apr,46.4,N/A
CUUR0000SEMF01,1969,M05,1969 May,46.6,N/A
CUUR0000SEMF01,1969,M06,1969 Jun,46.6,1.5
CUUR0000SEMF01,1969,M07,1969 Jul,46.6,N/A
CUUR0000SEMF01,1969,M08,1969 Aug,46.7,N/A
CUUR0000SEMF01,1969,M09,1969 Sep,46.7,2.0
CUUR0000SEMF01,1969,M10,1969 Oct,46.8,N/A
CUUR0000SEMF01,1969,M11,1969 Nov,46.8,N/A
CUUR0000SEMF01,1969,M12,1969 Dec,46.9,1.7
CUUR0000SEMF01,1970,M01,1970 Jan,47.0,1.7
CUUR0000SEMF01,1970,M02,1970 Feb,47.2,1.9
CUUR0000SEMF01,1970,M03,1970 Mar,47.2,1.7
CUUR0000SEMF01,1970,M04,1970 Apr,47.5,2.4
CUUR0000SEMF01,1970,M05,1970 May,47.6,2.1
CUUR0000SEMF01,1970,M06,1970 Jun,47.7,2.4
