DATE,A068RC1
1959-01-01,311.9
1959-02-01,315.5
1959-03-01,318.7
1959-04-01,318.2
1959-05-01,322.2
1959-06-01,324.4
1959-07-01,324.0
1959-08-01,326.5
1959-09-01,330.6
1959-10-01,329.3
1959-11-01,329.4
1959-12-01,329.5
1960-01-01,330.3
1960-02-01,332.1
1960-03-01,336.9
1960-04-01,343.4
1960-05-01,337.0
1960-06-01,337.1
1960-07-01,338.5
1960-08-01,338.8
1960-09-01,340.6
1960-10-01,342.7
1960-11-01,342.7
1960-12-01,338.7
1961-01-01,339.5
1961-02-01,341.1
1961-03-01,345.1
1961-04-01,345.0
1961-05-01,347.3
1961-06-01,348.3
1961-07-01,348.0
1961-08-01,349.5
1961-09-01,351.9
1961-10-01,354.1
1961-11-01,357.5
1961-12-01,360.0
1962-01-01,360.8
1962-02-01,361.6
1962-03-01,365.1
1962-04-01,366.8
1962-05-01,369.9
1962-06-01,368.4
1962-07-01,369.4
1962-08-01,371.0
1962-09-01,377.0
1962-10-01,374.8
1962-11-01,380.0
1962-12-01,382.0
1963-01-01,383.0
1963-02-01,382.1
1963-03-01,383.7
1963-04-01,385.1
1963-05-01,386.1
1963-06-01,390.7
1963-07-01,393.6
1963-08-01,395.6
1963-09-01,394.9
1963-10-01,395.5
1963-11-01,399.0
1963-12-01,404.3
1964-01-01,406.4
1964-02-01,409.9
1964-03-01,411.6
1964-04-01,412.8
1964-05-01,418.5
1964-06-01,421.5
1964-07-01,425.2
1964-08-01,428.2
1964-09-01,427.1
1964-10-01,430.2
1964-11-01,427.0
1964-12-01,431.7
1965-01-01,435.1
1965-02-01,442.1
1965-03-01,444.1
1965-04-01,448.2
1965-05-01,448.9
1965-06-01,446.6
1965-07-01,452.4
1965-08-01,455.8
1965-09-01,463.5
1965-10-01,470.0
1965-11-01,470.7
1965-12-01,473.4
1966-01-01,476.9
1966-02-01,482.0
1966-03-01,486.9
1966-04-01,489.0
1966-05-01,485.2
1966-06-01,487.7
1966-07-01,492.8
1966-08-01,495.5
1966-09-01,501.5
1966-10-01,500.7
1966-11-01,502.6
1966-12-01,504.4
1967-01-01,506.9
1967-02-01,505.7
1967-03-01,508.6
1967-04-01,514.6
1967-05-01,515.6
1967-06-01,520.2
1967-07-01,519.7
1967-08-01,522.9
1967-09-01,528.7
1967-10-01,525.3
1967-11-01,530.6
1967-12-01,538.4
1968-01-01,544.3
1968-02-01,547.1
1968-03-01,557.9
1968-04-01,557.8
1968-05-01,563.7
1968-06-01,570.3
1968-07-01,577.5
1968-08-01,581.4
1968-09-01,582.8
1968-10-01,586.3
1968-11-01,591.5
1968-12-01,591.5
1969-01-01,598.6
1969-02-01,604.0
1969-03-01,604.3
1969-04-01,609.7
1969-05-01,616.3
1969-06-01,617.0
1969-07-01,618.9
1969-08-01,626.3
1969-09-01,629.8
1969-10-01,635.2
1969-11-01,637.3
1969-12-01,639.7
1970-01-01,645.9
1970-02-01,651.2
1970-03-01,649.6
1970-04-01,653.5
1970-05-01,660.0
1970-06-01,663.9
1970-07-01,666.2
1970-08-01,670.7
1970-09-01,677.0
1970-10-01,676.3
1970-11-01,674.6
1970-12-01,683.8
1971-01-01,694.5
1971-02-01,697.9
1971-03-01,700.6
1971-04-01,707.5
1971-05-01,710.1
1971-06-01,718.9
1971-07-01,718.2
1971-08-01,724.4
1971-09-01,732.6
1971-10-01,735.7
1971-11-01,741.0
1971-12-01,748.6
1972-01-01,751.8
1972-02-01,756.6
1972-03-01,769.8
1972-04-01,773.4
1972-05-01,779.0
1972-06-01,782.7
1972-07-01,791.2
1972-08-01,797.7
1972-09-01,802.6
1972-10-01,816.5
1972-11-01,822.2
1972-12-01,828.0
1973-01-01,838.3
1973-02-01,847.8
1973-03-01,854.9
1973-04-01,858.0
1973-05-01,864.1
1973-06-01,866.9
1973-07-01,876.9
1973-08-01,876.2
1973-09-01,892.3
1973-10-01,892.6
1973-11-01,901.4
1973-12-01,901.2
1974-01-01,907.9
1974-02-01,913.1
1974-03-01,925.0
1974-04-01,934.5
1974-05-01,946.4
1974-06-01,952.2
1974-07-01,962.4
1974-08-01,979.5
1974-09-01,979.9
1974-10-01,984.2
1974-11-01,981.4
1974-12-01,987.4
1975-01-01,1001.9
1975-02-01,1016.0
1975-03-01,1017.5
1975-04-01,1021.7
1975-05-01,1045.8
1975-06-01,1053.8
1975-07-01,1067.2
1975-08-01,1074.5
1975-09-01,1082.5
1975-10-01,1088.7
1975-11-01,1103.6
1975-12-01,1119.8
1976-01-01,1134.6
1976-02-01,1135.1
1976-03-01,1142.3
1976-04-01,1152.9
1976-05-01,1150.3
1976-06-01,1168.2
1976-07-01,1177.5
1976-08-01,1186.0
1976-09-01,1197.1
1976-10-01,1205.2
1976-11-01,1217.6
1976-12-01,1240.5
1977-01-01,1244.6
1977-02-01,1261.3
1977-03-01,1268.7
1977-04-01,1277.9
1977-05-01,1288.0
1977-06-01,1294.9
1977-07-01,1312.0
1977-08-01,1317.5
1977-09-01,1326.8
1977-10-01,1343.9
1977-11-01,1359.9
1977-12-01,1369.4
1978-01-01,1363.4
1978-02-01,1389.5
1978-03-01,1412.4
1978-04-01,1432.0
1978-05-01,1448.1
1978-06-01,1462.4
1978-07-01,1464.0
1978-08-01,1484.6
1978-09-01,1490.9
1978-10-01,1505.5
1978-11-01,1519.5
1978-12-01,1535.7
1979-01-01,1541.7
1979-02-01,1557.4
1979-03-01,1571.1
1979-04-01,1578.7
1979-05-01,1599.4
1979-06-01,1616.7
